Time,Username,UserID,Voice Channel
10:46:46,ygg_anderson,659828514924658688,Token Engineering
10:48:16,ygg_anderson,659828514924658688,Token Engineering
10:49:46,ygg_anderson,659828514924658688,Token Engineering
10:51:16,ygg_anderson,659828514924658688,Token Engineering
10:52:46,ygg_anderson,659828514924658688,Token Engineering
11:10:46,johann,396397812037713924,Token Engineering
11:10:46,BK,708865402943438929,Token Engineering
11:12:16,johann,396397812037713924,Token Engineering
11:12:16,ygg_anderson,659828514924658688,Token Engineering
11:12:16,BK,708865402943438929,Token Engineering
11:13:46,johann,396397812037713924,Token Engineering
11:13:46,ygg_anderson,659828514924658688,Token Engineering
11:13:46,BK,708865402943438929,Token Engineering
11:15:16,johann,396397812037713924,Token Engineering
11:15:16,ygg_anderson,659828514924658688,Token Engineering
11:15:16,BK,708865402943438929,Token Engineering
11:16:46,ygg_anderson,659828514924658688,Token Engineering
11:18:16,ygg_anderson,659828514924658688,Token Engineering
12:1:46,Liam ¬ LTF,716047297636597782,General Comms
12:1:46,24nico,135957433095815169,General Comms
12:1:46,ygg_anderson,659828514924658688,General Comms
12:3:16,johann,396397812037713924,General Comms
12:3:16,Liam ¬ LTF,716047297636597782,General Comms
12:3:16,24nico,135957433095815169,General Comms
12:3:16,ygg_anderson,659828514924658688,General Comms
12:3:16,BK,708865402943438929,General Comms
12:3:16,🐙 octopus,699811072282066945,General Comms
12:3:16,SweptbackCat,620632911498182675,General Comms
12:4:46,johann,396397812037713924,General Comms
12:4:46,Liam ¬ LTF,716047297636597782,General Comms
12:4:46,24nico,135957433095815169,General Comms
12:4:46,ygg_anderson,659828514924658688,General Comms
12:4:46,BK,708865402943438929,General Comms
12:4:46,Aidan | LTF,686755249138302977,General Comms
12:4:46,🐙 octopus,699811072282066945,General Comms
12:4:46,SweptbackCat,620632911498182675,General Comms
12:6:16,johann,396397812037713924,General Comms
12:6:16,Liam ¬ LTF,716047297636597782,General Comms
12:6:16,24nico,135957433095815169,General Comms
12:6:16,ygg_anderson,659828514924658688,General Comms
12:6:16,BK,708865402943438929,General Comms
12:6:16,Aidan | LTF,686755249138302977,General Comms
12:6:16,🐙 octopus,699811072282066945,General Comms
12:6:16,SweptbackCat,620632911498182675,General Comms
12:7:46,johann,396397812037713924,General Comms
12:7:46,Liam ¬ LTF,716047297636597782,General Comms
12:7:46,24nico,135957433095815169,General Comms
12:7:46,ygg_anderson,659828514924658688,General Comms
12:7:46,BK,708865402943438929,General Comms
12:7:46,Aidan | LTF,686755249138302977,General Comms
12:7:46,🐙 octopus,699811072282066945,General Comms
12:7:46,SweptbackCat,620632911498182675,General Comms
12:9:16,johann,396397812037713924,General Comms
12:9:16,Liam ¬ LTF,716047297636597782,General Comms
12:9:16,24nico,135957433095815169,General Comms
12:9:16,ygg_anderson,659828514924658688,General Comms
12:9:16,BK,708865402943438929,General Comms
12:9:16,Aidan | LTF,686755249138302977,General Comms
12:9:16,🐙 octopus,699811072282066945,General Comms
12:9:16,SweptbackCat,620632911498182675,General Comms
12:10:46,johann,396397812037713924,General Comms
12:10:46,Liam ¬ LTF,716047297636597782,General Comms
12:10:46,24nico,135957433095815169,General Comms
